회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
밸류파트너스자산운용,32041263008,4555054398,5036729698,0,0,0,0,0,0,0,0,14064403489,0,0,0,55697450593,0,-17448691,-1159545628
베네투스자산운용,938331579,0,0,4054858471,0,0,0,0,0,0,0,18998996210,0,0,0,23992186260,0,117018445,4104083055
베스타스자산운용,0,0,0,0,0,0,0,0,4225201288289,0,151354574777,0,0,0,0,4376555863066,0,7463060281,251020300999
베스턴자산운용,0,0,0,0,0,0,0,0,126966969352,0,0,0,0,0,0,126966969352,0,52010441,126966969352
베아투스자산운용,0,0,0,0,0,0,0,0,0,0,0,18914870146,0,0,0,18914870146,0,2940590,3538571805
베어링자산운용,22684409726835,34774645724,96245980917,4341383278931,0,3722602184062,0,0,0,0,300889475177,0,0,0,0,31180305291646,0,278003552657,6825971593413
벤코어인베스트먼츠자산운용,0,0,0,0,0,0,0,0,0,0,9106899915,10013996905,0,0,0,19120896820,0,-1556213,-9457434727
벨에포크자산운용,0,0,0,0,0,0,0,0,0,0,0,23044439557,0,0,0,23044439557,0,-517117,-7912320321
보고펀드자산운용,0,13192302416,74477197779,0,0,3890568340475,0,0,3996896076146,0,5731624919543,712403060924,0,0,0,14419161897283,0,54679550693,712753035247
볼트자산운용,20777747150,0,0,0,0,0,0,0,193645236096,0,281966396335,12984617929,0,0,0,509373997510,0,162447172,50290187033
브라이트자산운용,0,123333450376,1834926378,0,0,0,0,0,0,0,0,47746645182,0,0,0,172915021936,0,17853058,51821255716
브라이튼자산운용,0,0,0,0,0,0,0,0,177530344500,0,0,0,0,0,0,177530344500,0,13306218,41828378695
브레인자산운용,0,185512284997,0,0,0,0,0,0,0,0,0,455254326804,0,79967976240,39412117080,760146705121,0,1542352301,-27687933806
브로드하이자산운용,107907327,0,7738970312,0,0,0,0,0,0,0,0,30062786999,0,0,0,37909664638,0,28382339,-4318589733
브룩필드자산운용코리아,0,0,0,0,0,0,0,0,1162506274373,0,0,0,0,0,0,1162506274373,0,19690653,494081112122
브이아이자산운용,7964096995959,55046568023,202800826943,4716091678626,0,313931386853,5567557175386,540958954236,492851112866,0,581535449642,750400563034,0,0,0,21185270711568,0,149103810475,6285844155822
브이아이피자산운용,7049890293335,2058148499401,63228827266,0,0,0,0,0,0,0,0,411347008568,0,0,0,9582614628570,0,11994523784,1277071006803
브이앤에스자산운용,845576534479,3976006310,0,0,0,0,0,2599147680,0,0,0,157262917718,0,0,0,1009414606187,0,14524986945,133609042870
브이엠자산운용,0,0,147302069891,0,0,0,0,0,0,0,0,108810516295,0,0,0,256112586186,0,104441117,-40772204440
브이자산운용,269888982800,3135482619,16174979441,2438174878,0,1647068735,196681265031,84752463234,38416925777,0,361748380886,35488247237,0,0,0,1010371970638,0,6130201724,73996258116
블래쉬자산운용,5442610468,115039436211,3008445918,0,0,0,0,0,0,0,0,184634182565,0,0,0,308124675162,0,5900174601,99794270861
블랙록자산운용,0,0,0,0,0,232761637302,0,0,0,0,0,0,0,0,0,232761637302,0,-349398477,-82958684593
블랙보드자산운용,87460056371,0,0,0,0,35863982864,0,68710319213,41505323108,0,0,24763674072,0,9001000000,0,267304355628,0,949343600,141480633980
블랙펄자산운용,22121112689,0,0,0,0,7911864440,0,0,0,0,0,23197671139,0,0,0,53230648268,0,148111141,-10580075389
블루코브자산운용,0,0,0,0,0,20805575472,0,0,571726899857,0,0,0,0,0,0,592532475329,0,-20745084,57739225726
블리츠자산운용,6290074728,0,16826318856,0,0,0,0,0,111555496885,0,0,318811550007,0,0,44342226059,497825666535,0,6030023013,132863392192
비앤아이자산운용,30529770000,0,0,0,0,0,0,0,0,0,0,78420339271,0,0,0,108950109271,0,391119940,30844616808
비엔비자산운용,0,120709548619,0,0,0,0,0,0,0,0,0,74786119054,0,0,0,195495667673,0,-356566837,39215163715
비엔케이자산운용,2643314350132,31485629024,167516110335,4417511660752,0,100886073126,4190297067634,291524912745,396628949327,0,0,204812711133,0,0,116221175480,12560198639688,0,118270824425,884664436192
비욘드자산운용,0,0,2613849156,0,0,2524514980,0,0,17406155852,0,0,18891350348,0,0,0,41435870336,0,24695752,-5062030889
비전자산운용,4741158950,0,26371073128,54486291451,0,60954847612,0,0,0,0,0,149482388433,0,0,0,296035759574,0,1818884968,46271863774
비케이피엘자산운용,0,0,469462900,0,0,592064197099,0,0,0,0,224908851137,23684405496,0,0,0,841126916632,0,753106345,1598958045
비피자산운용,0,0,0,0,0,0,0,0,78470406325,0,0,10021167233,0,0,0,88491573558,0,9445114,-22493359265
빌리언폴드자산운용,0,49731642820,0,0,0,0,0,0,63047851125,0,0,2251723111561,0,0,0,2364502605506,0,55726718907,1854292405164
사람사점영자산운용,92614034783,6219718008,162030669054,0,0,0,0,4950004649,0,0,0,65245370031,0,0,0,331059796525,0,-162025506,18995913525
사우스피크자산운용,0,0,0,15144887227,0,0,0,0,0,0,0,0,0,0,0,15144887227,0,2701100,-5290799100
산은인프라자산운용,0,0,20017684666,0,0,0,0,0,204201449079,0,16617933107052,743293634726,0,0,0,17585445875523,0,13704707893,761311991191
삼성액티브자산운용,17900484236355,19040301832,140509236363,0,0,55208338356,0,0,0,0,0,33982028301,0,0,0,18149224141207,2246200000000,238257732414,6250839544540
삼성에스알에이자산운용,0,0,0,0,0,0,0,0,21054359810553,0,0,0,0,0,0,21054359810553,0,330820706968,956698390362
삼성자산운용,122486400407377,1186690919993,8848199540806,195056092977198,0,97835656984321,29896334125075,53976818145698,554582074568,0,15716032140286,3928233000398,0,0,0,529485040315720,0,4508603589234,92851961437830
삼성헤지자산운용,0,0,0,0,0,0,0,38228119951,0,0,0,103031233325,0,0,0,141259353276,0,200819984,-1963219665
삼천리자산운용,0,0,0,0,0,0,0,0,3084132306,0,2195264123210,0,0,0,0,2198348255516,0,8476733641,-914298910
새봄자산운용,0,0,0,0,0,0,0,0,0,0,0,15440146267,0,0,0,15440146267,0,109956746,3985289207
샘자산운용,0,0,0,0,0,0,0,0,0,0,0,11426317945,0,0,0,11426317945,0,-352982,-7085145911
서울에셋매니지먼트,0,15481248649,22789097886,0,0,0,0,0,0,0,0,97806960856,0,0,0,136077307391,0,-209589793,3278351084
서울투자자산운용,0,0,0,0,0,0,0,0,0,0,0,59988564671,0,0,0,59988564671,0,1813770178,59988564671
서진자산운용,20368428571,0,0,0,0,0,0,0,0,0,0,16025765012,0,0,0,36394193583,0,5174524,3484077570
선스피어자산운용,0,0,11709404153,0,0,0,0,0,0,0,4492737127,23365979887,0,0,0,39568121167,0,25523706,11178979475
센터피스자산운용,0,0,0,0,0,0,0,0,52911225031,0,0,0,0,0,0,52911225031,0,-561824,-484370738
센트로이드에셋매니지먼트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1095767467
셀레니언자산운용,0,0,0,0,0,0,0,0,0,0,0,35142077711,0,0,0,35142077711,0,213033416,-8104244032
셀티스자산운용,0,0,2080677572,0,0,0,0,0,0,0,0,20481032982,0,0,0,22561710554,0,15216003,-9560305484
솔리드런자산운용,0,0,0,0,0,0,0,0,3434219383,0,0,659289418,0,0,0,4093508801,0,213723,-7867777718
수성자산운용,4384608936,232313581005,82450743630,86735224025,0,0,0,0,0,0,0,415818010051,0,0,0,821702167647,0,884608178,75431677978
수협자산운용,81813983095,0,72879721218,2360303812815,0,0,0,0,0,0,0,76085800443,0,0,0,2591083317571,0,3103820110,2363731094723
슈니크자산운용,0,0,0,20234696811,0,0,0,0,0,0,0,23103792030,0,0,0,43338488841,0,21787935,-2198541740
슈로더자산운용,0,0,0,0,0,887240369480,0,0,0,0,0,0,0,0,0,887240369480,0,6531802857,2183153048
스마일게이트자산운용,61963998241,0,0,0,0,100575327109,0,0,604302310906,0,0,11619037123,0,0,0,778460673379,0,29030667,308765574400
스카이워크자산운용,0,91069877724,0,0,0,0,0,0,0,0,0,95055344119,0,0,0,186125221843,0,-227682053,66872760274
스퀘어자산운용,0,0,0,0,0,0,0,0,0,0,0,8078892192,0,0,0,8078892192,0,-235116,-15413309672
스타갤럭시 자산운용,0,0,0,0,0,0,0,0,0,0,0,2366833181,0,0,0,2366833181,0,5485855,-4483082276
스타로드자산운용,0,0,0,0,0,0,0,0,382781709707,0,0,3004062135,0,0,0,385785771842,0,43335102,57736123479
스타퀘스트자산운용,14848888249,22923097750,0,0,0,0,0,0,0,0,0,80334898763,0,0,0,118106884762,0,809486187,-622425485
스탠버그자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스틱얼터너티브자산운용,0,0,0,0,0,198177923385,0,0,474833486322,0,518923962016,386403539583,0,0,0,1578338911306,0,997363915,-28924612302
스팍스자산운용,2417855971689,0,56648127200,0,0,0,0,0,0,0,0,0,0,0,0,2474504098889,0,19430605795,699890211439
스페이스자산운용,0,0,0,0,0,17093171831,0,0,0,0,0,21607200334,0,0,0,38700372165,0,-64906820,4295840999
스피네이커자산운용,9991281308,1062414234,0,0,0,0,0,0,0,0,0,35219649385,0,0,0,46273344927,0,40137938,13003557765
슬기자산운용,509263237302,72808653614,3959297389,0,0,0,0,0,0,0,0,705658004264,0,0,5369163280,1297058355849,0,11358059611,720725855663
시그니처자산운용,0,3907363257,0,0,0,0,0,0,50527170712,0,0,11945956435,0,0,0,66380490404,0,5603773,22020364113
시드인베스트먼트자산운용,0,0,0,0,0,0,0,0,56171711573,0,0,49827759485,0,0,0,105999471058,0,13537896,2800956850
시몬느자산운용,0,0,0,0,0,0,0,1906948542,173032000586,0,47823348435,176077179691,0,0,0,398839477254,0,1303757663,97183542313
신라자산운용,0,0,0,0,0,0,0,0,0,0,0,-307888917,0,0,0,-307888917,0,1073,275372
신영자산운용,4959682749013,289750398689,1146270539927,104252044767,0,205391192981,6811976715119,0,0,0,0,97254177402,0,0,0,13614577817898,0,277522175068,5792786056649
신한자산운용,25174901493174,892562942414,3026947443524,66964342671694,0,14584341599914,16474337540799,8357416768010,6223576379371,0,18233241037061,6408812078701,36221444877,0,279095746166,166655797145705,0,1164598335264,18702125657940
써밋자산운용,0,0,0,0,0,0,0,0,0,0,0,17916130690,0,0,0,17916130690,0,4803267,2554595249
썬앤트리자산운용,879805086,4255519689,4423158876,1766426688,1263934698,1798026717,0,4111671153,0,0,1324951537,49718958831,0,0,0,69542453275,0,25924250,15749631273
씨비알이인베스트먼트매니지먼트자산운용,0,0,0,0,0,0,0,0,822948197432,0,0,0,0,0,0,822948197432,0,36482968,-11615832544
씨스퀘어자산운용,192144898633,0,128514352710,0,0,0,0,0,816405042,0,0,232004172110,0,0,0,553479828495,0,5107493169,52845506942
씨앗자산운용,19825354927,0,0,0,0,0,0,0,0,0,0,135602318595,0,0,0,155427673522,0,-1254881112,27636449129
씨앤디자산운용,0,0,0,0,0,0,0,0,0,0,0,11201396055,0,0,0,11201396055,0,-161823,8012802138
씨에이씨파트너스자산운용,0,0,0,0,0,0,0,0,132807420924,0,0,0,0,0,0,132807420924,0,8796944,37620556128
씨엘자산운용,0,43368335475,92988487,0,0,0,0,0,0,0,0,17943597567,0,0,0,61404921529,0,171138933,16707516962
씨케이골디락스자산운용,21380046056,53658822768,0,0,0,0,0,2868564886,0,0,0,0,0,0,0,77907433710,0,-885832659,-3334335136
아너스자산운용,25990746895,0,11525359495,0,0,0,0,0,4310424307,0,0,547855628419,0,0,0,589682159116,0,-9132777549,-5682442720
아든자산운용,67723836806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67723836806,0,435302043,11713322340
아라자산운용,1681503959,0,0,0,0,0,0,0,0,0,0,3395527023,0,0,0,5077030982,0,-3950645,-718608527
아람자산운용,0,0,7106412418,0,0,0,0,0,0,0,0,7665099917,0,0,0,14771512335,0,4445432,-10637940411
아르고스자산운용,0,0,0,0,0,0,0,0,0,0,0,5730746523,0,0,0,5730746523,0,190092,2435116694
아름자산운용,5837504952,8276646695,1778083391,0,0,0,0,0,28115311428,0,0,35693025292,0,0,59953305259,139653877017,0,-618850611,-44190925153
아미쿠스자산운용,0,7015875844,0,0,0,0,0,0,32169510341,0,0,11249461393,0,0,0,50434847578,0,24826054,32852390828
아샘자산운용,1223302571,25623618763,107235308384,11188545106,0,2428242376,0,0,0,0,0,46485226145,0,0,0,194184243345,0,197802020,10899648580
아스트라자산운용,70458466790,0,1258830534,0,0,4161512135,0,0,0,0,0,17055005868,0,0,0,92933815327,0,-38462323,-5006326326
아우름자산운용,12115284262,9564554248,4291301873,0,0,0,0,0,0,0,0,10157742703,0,0,0,36128883086,0,-63455573,-10943518809
아울자산운용,0,0,0,0,0,410101742,0,0,0,0,0,1315981041,0,0,0,1726082783,0,-72807,-15357224047
아이리스자산운용,0,2986488519,0,0,0,0,0,0,0,0,0,11003139708,0,0,0,13989628227,0,-1411338,-6002823158
아이비자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아이비케이자산운용,6077103009407,142512969359,452711697717,3699811427935,0,14320748710394,16561338338815,138856447100,26065543855,0,1032785825163,0,0,0,7430854127,42459364823872,0,148463868748,6405954462349
아이앤제이자산운용,0,1098824911,941059602,0,0,0,0,0,2567351148,0,0,1273721423,0,0,33640410000,39521367084,0,74443449,23231672208
아이앤케이투자자산운용,0,0,0,0,0,0,0,0,98947463421,0,0,14485679168,0,0,0,113433142589,0,-35750619,-9462414805
아이엠에셋자산운용,11234099722939,1910887743,174182625030,4165681022346,0,1261745179276,3183739884585,976865589665,238276372552,0,426435585195,28765841580,0,0,0,21691702710911,0,180019923780,3769320427225
아이엠엠자산운용,93165720206,0,0,0,0,83748889593,0,0,36080173289,0,0,201102017920,0,0,0,414096801008,0,386479598,70464366399
아이엠엠크레딧앤솔루션,0,0,0,0,0,0,0,0,0,0,0,175917061129,0,0,0,175917061129,0,-5239573,-13244700980
아이온자산운용,16128783212,0,0,0,0,0,0,0,0,0,0,17303152943,0,0,0,33431936155,0,-1755627,-15012909853
아이트러스트자산운용,0,217950384385,2105282744,0,0,0,0,0,4187462129,0,0,12202280612,0,0,0,236445409870,0,-508118370,72984604911
아이파트너스자산운용,0,0,8435132209,715642990,0,986650623,0,0,86228872996,0,30324077090,12807469734,0,0,0,139497845642,0,46763728,-25678121164
아이피엠자산운용,0,19598293117,0,0,0,176795713257,0,0,0,0,13481506,27741353279,0,0,0,224148841159,0,514477719,-1803084660
아진자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아크미스자산운용,43240732860,0,28202173887,0,0,0,0,499448864,0,0,0,2264386815,0,0,0,74206742426,0,265483500,11313588394
아크임팩트자산운용,124339069709,11048999805,0,0,0,0,0,0,8543183162,0,0,276243736812,0,0,0,420174989488,0,3296144518,28796508151
아테나자산운용,18646510635,0,0,77644856869,0,0,0,0,0,0,0,49239873684,0,0,0,145531241188,0,65731773,-8733601333
아트만자산운용,276491383350,43276201798,149070379256,0,0,9960663679,0,0,0,0,0,16721297239,0,0,0,495519925322,0,4074214298,167633025423
아하에셋자산운용,0,0,0,0,0,0,0,0,0,0,0,16373086848,0,0,0,16373086848,0,-70546696,-72560548
안다에이치자산운용,0,27442235271,322604785917,0,0,0,0,0,0,0,0,96590809583,0,0,0,446637830771,0,-3460248588,-253193896394
안다자산운용,590112057343,610589993,47681441107,0,0,0,0,151259890278,39415406493,0,0,386972977075,0,0,0,1216052362289,0,8778539357,-128900169510
알더블유씨코리아자산운용,0,0,0,0,0,0,0,0,10116468906,0,315095947,0,0,0,30475463899,40907028752,0,366953,10431564853
알더인베스트먼트,0,0,0,17762659387,0,0,0,0,0,0,1277132777,73903022329,0,0,0,92942814493,0,96713356,17304257474
